Why can't I sleep at night?,The inevitable heat death of the universe.,5
What's that smell?,A micropig wearing a tiny raincoat and booties.,1
I got 99 problems but ___ ain't one.,Free samples.,17
What's the next superhero/sidekick duo?,A squadron of moles wearing aviator goggles.,42
What's there a ton of in heaven?,Puppies!,10
"What would grandma find disturbing, yet oddly charming?",A sad fat dragon with no friends.,40
What's the new fad diet?,A zesty breakfast burrito.,29
What will always get you laid?,The violation of our most basic human rights.,6
What's my secret power?,Active listening.,18
What are my parents hiding from me?,The heart of a child.,9
What's the latest gossip?,A bag of magic beans.,15
Why am I sticky?,A ball of earwax, semen, and toenail clippings.,12
What gets better with age?,A lifetime of sadness.,19
What's a girl's best friend?,The blood of Christ.,48
What's the most emo?,My inner demons.,3
How did I lose my virginity?,An icepick lobotomy.,16
Why do I hurt all over?,My genitals.,21
What's a sure sign of a midlife crisis?,Switching to Geico®.,30
What ended my last relationship?,An honest cop with nothing left to lose.,49
What's that sound?,Firing a rifle into the air while balls deep in a squealing hog.,50
Why am I so tired?,Doing the right thing.,24
What am I giving up for Lent?,Science.,22
What's the cruelest thing that can happen?,A pyramid of severed heads.,27
What's my anti-drug?,Funky fresh rhymes.,7
What never fails to liven up the party?,The American Dream.,46
What's the new meat?,Hobos.,13
Why can't I have nice things?,A windmill full of corpses.,33
What do old people smell like?,Some god-damn peace and quiet.,28
What gets me unfriended on Facebook?,Licking things to claim them as your own.,8
What will I bring back in time to convince people that I am a powerful wizard?,My relationship status.,26
What's the most controversial thing at Thanksgiving dinner?,The true meaning of Christmas.,34
What will be the title of my autobiography?,A mopey zoo lion.,14
What's the worst thing to say at a job interview?,The heart of a child.,9
What does the U.S. airdrop to the children of Afghanistan?,A can of whoop-ass.,4
What helps Obama unwind?,The blood of Christ.,48
I drink to forget ___.,My inner demons.,3
What's the next Happy Meal® toy?,A bag of magic beans.,15
What's Batman's guilty pleasure?,The blood of Christ.,48
What's a common misconception?,Science.,22
What's the most addictive game?,A bunch of idiots playing a card game instead of interacting like normal humans.,41
What's the meaning of life?,The inevitable heat death of the universe.,5
What do I regret the most?,An icepick lobotomy.,16
What can you always find in your couch cushions?,"A ball of earwax, semen, and toenail clippings.",12
What's the best way to stay warm?,The blood of Christ.,48
What would be an awkward thing to hear in a silence?,Firing a rifle into the air while balls deep in a squealing hog.,50
What's the best use for a time machine?,My relationship status.,26
What's the most interesting thing about history?,The inevitable heat death of the universe.,5
What's my spirit animal?,A sad fat dragon with no friends.,40
What are the elders of the internet angry about today?,A bunch of idiots playing a card game instead of interacting like normal humans.,41
